Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"de Sousa, LM; Lucanus, O; Arroyo-Mora, JP; Kalacska, M","Conservation and trade of the endangered Hypancistrus zebra (Siluriformes, Loricariidae), one of the most trafficked Brazilian fish",GLOBAL ECOLOGY AND CONSERVATION,2021,10.1016/j.gecco.2021.e01570,1,actinopterygii,siluriformes,pet,1,8,990,USD,1,1,"conservation,pop_trend",1,"threat,morph",1,1
"Nijman, V; Ardiansyah, A; Hendrik, R; Langgeng, A; Manson, S; Hedger, K; Imron, MA; Nekaris, KAI","Trade in a small-range songbird, the Javan crocias, gives insight into the Asian Songbird Crisis",JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2021,10.1016/j.japb.2021.01.001,1,aves,passeriformes,pet,1,3.67,77.89,USD,1,1,volume,1,"threat,range",0,0
"Arias, M; Hinsley, A; Nogales-Ascarrunz, P; Negroes, N; Glikman, JA; Milner-Gulland, EJ",Prevalence and characteristics of illegal jaguar trade in north-western Bolivia,CONSERVATION SCIENCE AND PRACTICE,2021,10.1111/csp2.444,1,mammalia,carnivora,medicinal,1,2,900,USD,0,0,NA,0,NA,0,NA
"Ayuya, OI; Soma, K; Obwanga, B",Socio-Economic Drivers of Fish Species Consumption Preferences in Kenya's Urban Informal Food System,SUSTAINABILITY,2021,10.3390/su13095278,5,actinopterygii,NA,food,0,2.51,3.77,EUR,0,0,NA,0,NA,0,NA
"Batumike, R; Imani, G; Urom, C; Cuni-Sanchez, A","Bushmeat hunting around Lomami National Park, Democratic Republic of the Congo",ORYX,2021,10.1017/S0030605319001017,18,"mammalia,reptilia",NA,food,1,7,54,USD,0,1,"pop_trend,perception",1,"threat,perception",0,NA
"Cicek, K; Ayaz, D; Afsar, M; Bayrakci, Y; Peksen, CA; Cumhuriyet, O; Ismail, IB; Yenmis, M; Ustundag, E; Tok, CV; Bilgin, CC; Akcakaya, HR",Unsustainable harvest of water frogs in southern Turkey for the European market,ORYX,2021,10.1017/S0030605319000176,1,amphibia,anura,"food,pet",1,0.6,2.6,USD,0,1,"abundance,volume",1,threat,0,NA
"Zanvo, S; Djagoun, SCAM; Azihou, FA; Djossa, B; Sinsin, B; Gaubert, P",Ethnozoological and commercial drivers of the pangolin trade in Benin,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2021,10.1186/s13002-021-00446-z,1,mammalia,pholidota,"medicinal,food",1,5.01,73.38,USD,0,0,NA,1,threat,0,NA
"Song, ZF; Wang, Q; Miao, Z; Zhang, W; Zhou, XH",The dissemination of relevant information on wildlife utilization and its connection with the illegal trade in wildlife,JOURNAL OF FORESTRY RESEARCH,2022,10.1007/s11676-021-01306-y,1,actinopterygii,acanthuriformes,medicinal,1,3000,12000,USD,0,1,volume,1,"threat,range",0,NA
"Wei, YQ; Zhang, L; Wang, JN; Wang, WW; Niyati, N; Guo, YL; Wang, XF","Chinese caterpillar fungus (Ophiocordyceps sinensis) in China: Current distribution, trading, and futures under climate change and overexploitation",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2020.142548,1,sordariomycetes,hypocreales,medicinal,1,8780,24640,USD,1,0,NA,1,threat,0,NA
"La Laina, DZ; Nekaris, KAI; Nijman, V; Morcatty, TQ",Illegal online pet trade in venomous snakes and the occurrence of snakebites in Brazil,TOXICON,2021,10.1016/j.toxicon.2021.01.010,16,reptilia,serpentes,pet,0,66.04,113.21,USD,0,1,volume,0,NA,0,NA
"Andersen, SK; Staerk, J; Kalhor, E; Natusch, DJD; da Silva, R; Pfau, B; Conde, DA","Economics, life history and international trade data for seven turtle species in Indonesian and Malaysian farms",DATA IN BRIEF,2021,10.1016/j.dib.2020.106708,7,reptilia,testudines,"pet,food",1,10,500,USD,0,1,volume,1,threat,1,NA
"Akmal, SG; Zamecnikova-Wanma, BPD; Prabowo, RE; Khatami, AM; Novak, J; Petrtyl, M; Kalous, L; Patoka, J",Marine ornamental trade in Indonesia,AQUATIC LIVING RESOURCES,2020,10.1051/alr/2020026,777,"actinopterygii,chondrichthyes,hexacorallia,asteroidea,hexacorallia,gastropoda",NA,pet,1,0.15,700,USD,0,0,NA,1,threat,1,NA
"Banjade, M; Adhikari, P; Oh, HS","Illegal wildlife trade in local markets of Feuang and Mad districts of Vientiane Province, Lao People's Democratic Republic",JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2020,10.1016/j.japb.2020.07.006,22,"mammalia,aves,reptilia,amphibia,insecta",NA,"medicinal,food,collection",1,0.25,300,USD,0,1,conservation,1,threat,1,NA
"Heinrich, S; Toomes, A; Gomez, L",Valuable stones: The trade in porcupine bezoars,GLOBAL ECOLOGY AND CONSERVATION,2020,10.1016/j.gecco.2020.e01204,1,mammalia,rodentia,medicinal,1,119.31,151.8,USD,0,1,conservation,1,threat,0,NA
"Nguyen, T; Roberts, DL",Exploring the Africa-Asia Trade Nexus for Endangered Wildlife Used in Traditional Asian Medicine: Interviews With Traders in South Africa and Vietnam,TROPICAL CONSERVATION SCIENCE,2020,10.1177/1940082920979252,5,mammalia,NA,medicinal,1,NA,NA,NA,0,0,NA,1,threat,0,NA
"Gombeer, S; Nebesse, C; Musaba, P; Ngoy, S; Peeters, M; Vanderheyden, A; Meganck, K; Smitz, N; Geers, F; Van den Heuvel, S; Backeljau, T; De Meyer, M; Verheyen, E","Exploring the bushmeat market in Brussels, Belgium: a clandestine luxury business",BIODIVERSITY AND CONSERVATION,2021,10.1007/s10531-020-02074-7,7,mammalia,NA,food,1,30.77,61.54,EUR,0,0,NA,1,threat,1,NA
